family,pfam_id,pratio,K,L,d,d_full,beta_star,beta_gen,KL,novelty,seqid,valid_aa
RRM,PF00076,0.8,68,71,43,1420,3.8483348970335034,8.0,0.0852781944352717,0.5674174204158712,0.5353051643192487,1.0
RRM,PF00076,0.85,68,71,48,1420,3.8483348970335034,8.0,0.06637230588330512,0.5779570954448819,0.5474178403755867,1.0
RRM,PF00076,0.9,68,71,53,1420,3.8483348970335034,8.0,0.066913413820402,0.6046498401763936,0.539718309859155,1.0
RRM,PF00076,0.95,68,71,59,1420,3.8483348970335034,8.0,0.05969708850608402,0.6225292513911345,0.5380281690140845,1.0
RRM,PF00076,0.99,68,71,65,1420,3.8483348970335034,8.0,0.05662984971026686,0.6537361800627897,0.5295774647887325,1.0
SH3,PF00018,0.8,55,48,32,960,3.234325130694131,6.0,0.038387669489209665,0.5497942448504495,0.5869444444444444,1.0
SH3,PF00018,0.85,55,48,36,960,3.8483348970335034,8.0,0.046378147220272434,0.5317587431861028,0.6055555555555556,1.0
SH3,PF00018,0.9,55,48,41,960,3.8483348970335034,8.0,0.03174660920764268,0.5598133485669827,0.5958333333333333,1.0
SH3,PF00018,0.95,55,48,46,960,3.8483348970335034,8.0,0.035922512186724535,0.5858056385890659,0.5926388888888888,1.0
SH3,PF00018,0.99,55,48,53,960,3.8483348970335034,8.0,0.02012860986800971,0.6095671166784041,0.5847222222222221,1.0
WW,PF00397,0.8,420,31,95,620,5.448177226584068,11.0,0.028499797386755808,0.6498240878990275,0.6,1.0
WW,PF00397,0.85,420,31,115,620,5.448177226584068,11.0,0.02712318955824567,0.6714489465910024,0.595268817204301,1.0
WW,PF00397,0.9,420,31,142,620,5.448177226584068,11.0,0.020128153752451125,0.7102386893493042,0.5756989247311828,1.0
WW,PF00397,0.95,420,31,186,620,5.448177226584068,11.0,0.008099905510503018,0.7407958104381007,0.5623655913978494,1.0
WW,PF00397,0.99,420,31,269,620,5.448177226584068,11.0,0.004462802010469466,0.7822859529265886,0.5253763440860214,1.0
Kunitz,PF00014,0.8,99,53,53,1060,3.8483348970335034,8.0,0.022119328545048524,0.5944222312850181,0.6192452830188678,1.0
Kunitz,PF00014,0.85,99,53,60,1060,3.8483348970335034,8.0,0.0217609523585169,0.6248465161098186,0.6124528301886792,1.0
Kunitz,PF00014,0.9,99,53,69,1060,3.8483348970335034,8.0,0.023131097453331542,0.6393425817727257,0.6158490566037736,1.0
Kunitz,PF00014,0.95,99,53,80,1060,3.8483348970335034,8.0,0.012607126563084962,0.6632904486003393,0.6069182389937107,1.0
Kunitz,PF00014,0.99,99,53,93,1060,3.8483348970335034,8.0,0.011993511490087594,0.6908736081856469,0.6035220125786164,1.0
zf-C2H2,PF00096,0.8,151,23,65,460,4.57890931841707,9.0,0.017170195993670576,0.620419130706769,0.5834782608695651,1.0
zf-C2H2,PF00096,0.85,151,23,75,460,4.57890931841707,9.0,0.017856488981601866,0.63568134266703,0.5782608695652174,1.0
zf-C2H2,PF00096,0.9,151,23,88,460,4.57890931841707,9.0,0.009951021932526175,0.6614841457259921,0.5718840579710144,1.0
zf-C2H2,PF00096,0.95,151,23,106,460,4.57890931841707,9.0,0.012527271739745285,0.6923728251486377,0.5573913043478259,1.0
zf-C2H2,PF00096,0.99,151,23,134,460,4.57890931841707,9.0,0.004725792245229798,0.7244908561010164,0.5394202898550724,1.0
PDZ,PF00595,0.8,44,83,25,1660,3.234325130694131,6.0,0.034500643510193475,0.49711645273370786,0.5487550200803214,1.0
PDZ,PF00595,0.85,44,83,28,1660,3.234325130694131,6.0,0.03401098549660122,0.5376115016712647,0.5402409638554215,1.0
PDZ,PF00595,0.9,44,83,32,1660,3.234325130694131,6.0,0.04587309207885334,0.5540616178463436,0.5435341365461848,1.0
PDZ,PF00595,0.95,44,83,37,1660,3.234325130694131,6.0,0.037509747185360716,0.5759208695691652,0.542570281124498,1.0
PDZ,PF00595,0.99,44,83,42,1660,3.234325130694131,6.0,0.026275589621938763,0.59143781351855,0.5440160642570281,1.0
Pkinase,PF00069,0.8,37,262,27,5240,3.234325130694131,6.0,0.03510297905258389,0.5365109984429143,0.5060814249363867,1.0
Pkinase,PF00069,0.85,37,262,29,5240,3.234325130694131,6.0,0.03648794316592296,0.5316487371386226,0.5123918575063614,1.0
Pkinase,PF00069,0.9,37,262,31,5240,3.234325130694131,6.0,0.034611908130988064,0.5555433491131215,0.5091348600508906,1.0
Pkinase,PF00069,0.95,37,262,34,5240,3.234325130694131,6.0,0.03497144650185084,0.5631152355094875,0.5151653944020356,1.0
Pkinase,PF00069,0.99,37,262,36,5240,3.234325130694131,6.0,0.03524414232189167,0.5800771865692318,0.5121119592875317,1.0
Defensin_beta,PF00711,0.8,45,36,25,720,3.234325130694131,6.0,0.028837969499696928,0.49457660056895475,0.679814814814815,1.0
Defensin_beta,PF00711,0.85,45,36,28,720,3.234325130694131,6.0,0.021169641926194895,0.519584853584012,0.668888888888889,1.0
Defensin_beta,PF00711,0.9,45,36,32,720,3.234325130694131,6.0,0.02009099611521036,0.5467751810606422,0.6566666666666666,1.0
Defensin_beta,PF00711,0.95,45,36,37,720,3.234325130694131,6.0,0.022424154844041092,0.5827913212521663,0.6548148148148147,1.0
Defensin_beta,PF00711,0.99,45,36,43,720,3.234325130694131,6.0,0.016290050870006387,0.6042861869591625,0.6568518518518517,1.0
