Family,K,L,NN_mean,NN_sd,NN_p05,NN_p10,NN_p25,NN_p50,NN_p75,NN_p90,NN_p95,NN_min,NN_max,gen_meanPairID,gen_meanHamming,gen_nDistinct,gen_consID_mean,gen_consID_sd
RRM,68,71,0.397,0.099,0.273,0.292,0.338,0.380,0.437,0.483,0.539,0.254,0.803,0.483,0.517,150,0.601,0.054
SH3,55,48,0.506,0.099,0.375,0.396,0.427,0.500,0.594,0.625,0.667,0.292,0.708,0.476,0.524,150,0.578,0.060
WW,420,31,0.601,0.074,0.484,0.516,0.548,0.613,0.645,0.677,0.710,0.387,0.806,0.376,0.624,150,0.490,0.073
Kunitz,99,53,0.568,0.117,0.432,0.449,0.472,0.528,0.679,0.736,0.774,0.358,0.792,0.477,0.523,150,0.563,0.051
zf-C2H2,151,23,0.479,0.048,0.391,0.435,0.435,0.478,0.522,0.522,0.565,0.304,0.565,0.347,0.653,150,0.441,0.078
PDZ,44,83,0.526,0.179,0.291,0.301,0.337,0.584,0.675,0.711,0.795,0.217,0.807,0.445,0.555,150,0.563,0.071
Pkinase,37,262,0.381,0.046,0.315,0.325,0.347,0.382,0.424,0.431,0.439,0.275,0.454,0.645,0.355,150,0.733,0.038
Defensin_beta,45,36,0.584,0.122,0.389,0.400,0.500,0.611,0.667,0.722,0.772,0.333,0.778,0.470,0.530,150,0.580,0.094
