Family,K,S,L,MeanMaxID,StdMaxID,MedianMaxID,FracGt95,FracGt90,FracGt80,Frac1Sub,Frac2Sub,Frac5Sub,MeanStoredID,StdStoredID,MedianStoredID
RRM,68,150,71,0.5380281690140845,0.06198643796608716,0.5211267605633803,0.0,0.0,0.0,0.0,0.0,0.0,0.23018709270548662,0.06089464021909232,0.22535211267605634
SH3,55,150,48,0.5926388888888888,0.06837747637501955,0.5833333333333334,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.2876683501683502,0.07601803391559415,0.2708333333333333
WW,420,150,31,0.5623655913978494,0.05317203772054747,0.5483870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.32435357390319286,0.08405763269136238,0.3225806451612903
Kunitz,99,150,53,0.6069182389937107,0.04967594288448183,0.5849056603773585,0.0,0.0,0.0,0.0,0.0,0.0,0.368140395094573,0.06264588880705232,0.3584905660377358
zf-C2H2,151,150,23,0.5573913043478259,0.0621177620217007,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.3035646415202995,0.06742401285656843,0.30434782608695654
PDZ,44,150,83,0.542570281124498,0.07539507908318326,0.5421686746987951,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.21686746987951816,0.08714555385449234,0.20481927710843373
Pkinase,37,150,262,0.5151653944020356,0.04801291497390578,0.5019083969465649,0.0,0.0,0.0,0.0,0.0,0.0,0.27385209637118035,0.046045078556135086,0.26717557251908397
Defensin_beta,45,150,36,0.6548148148148147,0.08326163126241498,0.6388888888888888,0.0,0.0,0.06,0.0,0.0,0.04,0.3321829405162739,0.09325760059073074,0.3055555555555556
