family,pfam_id,d,K,beta_gen,τ_int_ula,ess_ula,τ_int_mala,ess_mala,mala_accept,n_post_burn,n_thinned,ess_per_thinned,burn_converge_iter,τ_int_ula_std,ess_ula_std
RRM,PF00076,59,68,8.0,75.80801318224933,41.916187503004146,98.86976512914893,35.00547882997361,0.9978200000000002,3000,30,1.397206250100138,509.0,21.40517092274552,9.60688021363384
SH3,PF00018,46,55,8.0,95.14362423978581,35.36290235281897,84.01907990461162,39.2151626989382,0.9976200000000001,3000,30,1.1787634117606323,520.4,35.380187114590186,12.507476657221273
WW,PF00397,186,420,11.0,86.21707728057956,36.79887417737307,96.30758707574525,33.50310955910477,0.9960000000000001,3000,30,1.226629139245769,369.2,21.44443169545565,9.166034872894276
Kunitz,PF00014,80,99,8.0,100.07755366881061,34.7296041281984,108.68130247496356,32.74882725931999,0.9971,3000,30,1.1576534709399469,500.0,49.71030602844369,11.761505547770744
zf-C2H2,PF00096,106,151,9.0,105.31216250412993,33.02731440080875,81.65514159554736,38.63445164098146,0.9971200000000001,3000,30,1.1009104800269582,447.4,55.341250115059715,10.617077350635045
PDZ,PF00595,37,44,6.0,112.90326583428532,32.2371007207205,130.51664854666393,27.340496061591928,0.99802,3000,30,1.0745700240240166,303.6,60.072439813490575,12.8940163890946
Pkinase,PF00069,34,37,6.0,82.8172002758298,38.14986749333049,98.21392952174442,36.468486502579026,0.99834,3000,30,1.271662249777683,617.0,21.122961930976448,8.485908828593699
Defensin_beta,PF00711,37,45,6.0,122.20612507725662,31.71076658960134,123.89044742806637,28.642322447851768,0.9982200000000001,3000,30,1.0570255529867114,306.3,74.72356448816639,14.259149253971504
