Family,PfamID,Method,KL_mean,KL_se,Nov_mean,Nov_se,SID_mean,SID_se,ValidAA
RRM,PF00076,HMM emit,0.009179366167266657,0.0052161510833392735,0.646936104385481,0.005104100246807642,0.2092018779342723,0.0046137073260551905,1.0
SH3,PF00018,HMM emit,0.008504732846682987,0.01736407348264725,0.6137665083431653,0.004376625900830455,0.28958333333333336,0.00583042483594126,1.0
WW,PF00397,HMM emit,0.006901424692423795,0.019529795782421255,0.7059905321490856,0.0032279527082859703,0.38881720430107514,0.009018121960595883,1.0
Kunitz,PF00014,HMM emit,0.029686843035866092,0.011328992403699566,0.6654534689643051,0.004091625608935382,0.22943396226415094,0.0064918167179015464,1.0
zf-C2H2,PF00096,HMM emit,0.00620357299353092,0.038343717034923834,0.6700055674876848,0.0038737959257697983,0.4150724637681159,0.007573046588237373,1.0
PDZ,PF00595,HMM emit,0.012255252652059024,0.004962059780370373,0.5912210511512439,0.004474529014071866,0.1426506024096386,0.0035429382660895925,1.0
Pkinase,PF00069,HMM emit,0.018836881906735527,0.0011159413062694166,0.5610403526717725,0.006071224516245975,0.11249363867684477,0.002080904852952341,1.0
