Family,Method,KL_val,KL_se,Nov_val,Nov_se,SID_val,SID_se,MI_corr
RRM,SA (real),0.05969708850608402,0.0051918564345204326,0.5125939049286244,0.01133915306857892,0.5380281690140846,0.005591552761951225,0.8650769507530292
RRM,SA (permuted),0.05047911904575924,0.01729011789540368,0.6285647010791954,0.0052018931031284285,0.4597183098591549,0.0026063447131035866,0.8342634588739541
SH3,SA (real),0.035922512186724535,0.004045411992183456,0.4707357312988197,0.011606115097597647,0.5926388888888888,0.006463262342709398,0.9027077348081828
SH3,SA (permuted),0.03236272996258408,0.004476785048560232,0.6108318605202284,0.004991153976461421,0.49986111111111114,0.002646440093438098,0.8932977770415342
WW,SA (real),0.008099905510503018,0.0022449493410203847,0.6530000545433754,0.005550259565418498,0.5623655913978494,0.004782977352151966,0.853998745978011
WW,SA (permuted),0.006204922101427483,0.001974567700990501,0.6875376032286911,0.0036117609403843037,0.5402150537634409,0.003566486798597501,0.8506993758414473
Kunitz,SA (real),0.012607126563084962,0.0017367688453549844,0.5566703893315365,0.009047010118702814,0.6069182389937107,0.0043237367134879405,0.9366544261419307
Kunitz,SA (permuted),0.01244476395556101,0.0021518645202437533,0.6596534600780062,0.006660268202757034,0.5459119496855345,0.003040118942404056,0.9349163198449028
zf-C2H2,SA (real),0.012527271739745285,0.027477717309281946,0.595733877286815,0.010141485728018502,0.557391304347826,0.0066883596390893574,0.9572310912933673
zf-C2H2,SA (permuted),0.006326818430421494,0.005302737638991803,0.6537290472618428,0.005521938776364961,0.5110144927536231,0.00428608502977791,0.9600538179470639
PDZ,SA (real),0.037509747185360716,0.010922617594110095,0.41763404636962304,0.009234208960738222,0.5425702811244979,0.005262899125497983,0.844912676651292
PDZ,SA (permuted),0.02803636032802748,0.005474547981732263,0.5450023480778152,0.007464661408160303,0.43285140562248997,0.003053411231175995,0.8337251159394946
Pkinase,SA (real),0.03497144650185084,0.0010446249745334898,0.47755768207801846,0.011059092774669474,0.5151653944020356,0.003675498799856592,0.7140768471505125
Pkinase,SA (permuted),0.03518659141865002,0.0010809968158254817,0.6115070369493301,0.005055829873766536,0.4486005089058524,0.0010527477868385506,0.7062276512409521
Defensin_beta,SA (real),0.022424154844041092,0.0031205597430139613,0.4015703979755713,0.013270312115576444,0.6548148148148147,0.00664178697937252,0.9418096392736987
Defensin_beta,SA (permuted),0.01694853864001416,0.002498808535881724,0.5416675140807593,0.007679873404657117,0.5516666666666669,0.003594988075770964,0.9323133569507989
