Family,Method,KL_val,KL_se,Nov_val,Nov_se,SID_val,SID_se
RRM,SA gen,0.05969708850608402,0.0051918564345204326,0.5125939049286244,0.01133915306857892,0.5380281690140846,0.005591552761951225
RRM,SA ret,0.10676928935664326,0.009803321953071481,0.33439858420367324,0.0197026837727996,0.616150234741784,0.01230006166007278
RRM,BS,0.1332824959273579,0.005785930413785198,-9.62193288008469e-18,3.19330524715648e-17,0.6449765258215963,0.0044065271622293276
RRM,GP,0.13243809978046636,0.005229770226737394,0.007603179779531839,0.00011104509885565338,0.6331455399061034,0.005850897865055569
RRM,CC,2.0911838289064923,0.00039259878175145553,0.5104559020989051,0.008923440672137134,0.5622535211267604,0.0002896716107669744
SH3,SA gen,0.035922512186724535,0.0042776164882899525,0.4707357312988197,0.011606115097597647,0.5926388888888888,0.006463262342709398
SH3,SA ret,0.034518630446640365,0.0036953113183296714,0.2133480184254041,0.012008215874226258,0.7223611111111111,0.011186555409250119
SH3,BS,0.029551572729641006,0.0032518522757812277,1.5543122344752196e-17,2.6297466152375696e-17,0.7716666666666666,0.005512524923706266
SH3,GP,0.029767652974363283,0.0031666922416102245,0.005799389245730252,0.00011157870621959364,0.7515277777777777,0.005887418037235691
SH3,CC,0.7976288755588554,0.012066162191229983,0.47357652497896285,0.008328367570075513,0.6009722222222224,0.0016313711595973826
WW,SA gen,0.008099905510503018,0.002339427839705668,0.6530000545433754,0.005550259565418498,0.5623655913978494,0.004782977352151966
WW,SA ret,0.04615168762747924,0.013004788542856829,0.3544311376063878,0.015766315340910463,0.7630107526881721,0.011195623115651216
WW,BS,0.023901349846130494,0.0031051874140275966,4.810966440042345e-17,4.306240758878268e-17,0.8227956989247311,0.0052104934401296776
WW,GP,0.029426506278262352,0.004262130120198397,0.016638089691920904,0.0001270925855066015,0.8092473118279568,0.005850231143181974
WW,CC,1.3751453852703475,0.0924076135405681,0.6365758378073215,0.004427762364684842,0.7662365591397848,0.001300785658632981
Kunitz,SA gen,0.012607126563084962,0.0017808661383765386,0.5566703893315365,0.009047010118702814,0.6069182389937107,0.0043237367134879405
Kunitz,SA ret,0.036726571092594404,0.003031378264626231,0.2570148947492289,0.016262309049861066,0.7603773584905661,0.011935523345436166
Kunitz,BS,0.022552011248992886,0.0020799630075485453,-7.179442225909345e-17,2.5051072416622696e-17,0.8342138364779875,0.003930518314348476
Kunitz,GP,0.023626254664738503,0.0023104514301437637,0.010147694093690575,0.00012401816000376153,0.8437735849056605,0.004272389904080058
Kunitz,CC,0.7212243236386988,0.01293273045862911,0.5462966532935695,0.006599243781687542,0.5898113207547169,0.0012157334745214203
zf-C2H2,SA gen,0.012527271739745285,0.027523690514112898,0.595733877286815,0.010141485728018502,0.557391304347826,0.0066883596390893574
zf-C2H2,SA ret,0.021004415724925455,0.009628822134276882,0.1670295933361186,0.014342824498224098,0.8481159420289855,0.01335287445342826
zf-C2H2,BS,0.006684478954849525,0.002328424539880601,1.7763568394002508e-17,3.288976817328941e-17,0.9376811594202897,0.0042330340116059
zf-C2H2,GP,0.006627698461418393,0.0019796142960239794,0.011176718774990473,0.00013502441239435367,0.9402898550724638,0.004407059447237495
zf-C2H2,CC,2.3461241212178106,0.060449917656715174,0.5801966953214773,0.006286234789849197,0.5997101449275364,0.001349917503836268
PDZ,SA gen,0.037509747185360716,0.010450190767277637,0.41763404636962304,0.009234208960738222,0.5425702811244979,0.005262899125497983
PDZ,SA ret,0.05885627566943038,0.016016065997301196,0.23609096815421038,0.016686991918249433,0.6256224899598393,0.014308644186397155
PDZ,BS,0.04055463253923911,0.002227579853695317,-8.067620645609472e-17,1.9499841069935005e-17,0.641847389558233,0.00851934575297788
PDZ,GP,0.04519805033360296,0.0026409921118916383,0.005518492363646174,0.00010279026556024854,0.6481124497991968,0.0074377653609757925
PDZ,CC,0.3387562938277016,0.0008123946608480151,0.4492477874205611,0.009416324811454609,0.5485140562248997,0.0014862244613762952
Pkinase,SA gen,0.03497144650185084,0.0010715680638935091,0.47755768207801846,0.011059092774669474,0.5151653944020356,0.003675498799856592
Pkinase,SA ret,0.04956345352437918,0.0010580556124017023,0.31565139315012547,0.013294652050976402,0.530559796437659,0.005895650045133461
Pkinase,BS,0.05380664260364825,0.0013128758876459498,-5.181040781584063e-18,2.3414029349183775e-17,0.5220356234096692,0.003107301760802108
Pkinase,GP,0.05140416913129907,0.0010565871453053113,0.004917169686718822,0.00011102261018200994,0.5334860050890585,0.0031900501953697393
Pkinase,CC,0.062088855659553924,0.000582809411061841,0.44632432185165277,0.008644142842514213,0.46984732824427483,0.0004169056291722987
