Family,Method,KL_mean,KL_se,Nov_mean,Nov_se,SID_mean,SID_se
RRM,SA retrieval,0.10676928935664326,0.010637345428516248,0.33439858420367324,0.0197026837727996,0.616150234741784,0.01230006166007278
RRM,SA generation,0.05969708850608402,0.005033731238796825,0.5125939049286244,0.01133915306857892,0.5380281690140846,0.005591552761951225
RRM,Bootstrap,0.1332824959273579,0.005785930413785198,-9.62193288008469e-18,3.19330524715648e-17,0.6449765258215963,0.0044065271622293276
SH3,SA retrieval,0.034518630446640365,0.0035957245216013053,0.2133480184254041,0.012008215874226258,0.7223611111111111,0.011186555409250119
SH3,SA generation,0.035922512186724535,0.004430519346391893,0.4707357312988197,0.011606115097597647,0.5926388888888888,0.006463262342709398
SH3,Bootstrap,0.029551572729641006,0.0032518522757812277,1.5543122344752196e-17,2.6297466152375696e-17,0.7716666666666666,0.005512524923706266
WW,SA retrieval,0.04615168762747924,0.015254924442574464,0.3544311376063878,0.015766315340910463,0.7630107526881721,0.011195623115651216
WW,SA generation,0.008099905510503018,0.0023550513673070393,0.6530000545433754,0.005550259565418498,0.5623655913978494,0.004782977352151966
WW,Bootstrap,0.023901349846130494,0.0031051874140275966,4.810966440042345e-17,4.306240758878268e-17,0.8227956989247311,0.0052104934401296776
Kunitz,SA retrieval,0.036726571092594404,0.00324378386733926,0.2570148947492289,0.016262309049861066,0.7603773584905661,0.011935523345436166
Kunitz,SA generation,0.012607126563084962,0.0017749579611385992,0.5566703893315365,0.009047010118702814,0.6069182389937107,0.0043237367134879405
Kunitz,Bootstrap,0.022552011248992886,0.0020799630075485453,-7.179442225909345e-17,2.5051072416622696e-17,0.8342138364779875,0.003930518314348476
zf-C2H2,SA retrieval,0.021004415724925455,0.00662511199178052,0.1670295933361186,0.014342824498224098,0.8481159420289855,0.01335287445342826
zf-C2H2,SA generation,0.012527271739745285,0.02790233783434256,0.595733877286815,0.010141485728018502,0.557391304347826,0.0066883596390893574
zf-C2H2,Bootstrap,0.006684478954849525,0.002328424539880601,1.7763568394002508e-17,3.288976817328941e-17,0.9376811594202897,0.0042330340116059
PDZ,SA retrieval,0.05885627566943038,0.01686578444630745,0.23609096815421038,0.016686991918249433,0.6256224899598393,0.014308644186397155
PDZ,SA generation,0.037509747185360716,0.009165664729399631,0.41763404636962304,0.009234208960738222,0.5425702811244979,0.005262899125497983
PDZ,Bootstrap,0.04055463253923911,0.002227579853695317,-8.067620645609472e-17,1.9499841069935005e-17,0.641847389558233,0.00851934575297788
Pkinase,SA retrieval,0.04956345352437918,0.0010205891213523504,0.31565139315012547,0.013294652050976402,0.530559796437659,0.005895650045133461
Pkinase,SA generation,0.03497144650185084,0.0010669432582161526,0.47755768207801846,0.011059092774669474,0.5151653944020356,0.003675498799856592
Pkinase,Bootstrap,0.05380664260364825,0.0013128758876459498,-5.181040781584063e-18,2.3414029349183775e-17,0.5220356234096692,0.003107301760802108
Defensin_beta,SA retrieval,0.02527185013124089,0.0030823693950721327,0.16624201537707936,0.014813377612607313,0.7899999999999999,0.01459057625890451
Defensin_beta,SA generation,0.022424154844041092,0.003150999356297972,0.4015703979755713,0.013270312115576444,0.6548148148148147,0.00664178697937252
Defensin_beta,Bootstrap,0.01952038102071464,0.0022930341249473222,-7.919590908992784e-17,1.9005323770635936e-17,0.8364814814814814,0.007868848925138325
