Family,PfamID,K_full,K_sub,Repeat,d_PCA,β_star,β_gen,Novelty,Diversity,SeqID,ValidAA,KL_AA
SH3,PF00018,55,20,1,18,2.718281888383306,5.0,0.4821996348280056,0.999343587627631,0.6595833333333333,1.0,0.023110552990571125
SH3,PF00018,55,20,2,17,2.718281888383306,5.0,0.4504834200405238,0.998091638812151,0.6752777777777778,1.0,0.02722951542632284
SH3,PF00018,55,20,3,17,2.718281888383306,5.0,0.4512807997509457,0.9979774863107206,0.6729166666666667,1.0,0.03041582596269372
SH3,PF00018,55,20,4,18,2.718281888383306,5.0,0.4672047636114529,1.0005134295431963,0.6820833333333334,1.0,0.027095489737776333
SH3,PF00018,55,20,5,17,2.718281888383306,5.0,0.4519035131297602,1.0001152967461666,0.6600000000000001,1.0,0.023893990812926206
Kunitz,PF00014,99,20,1,18,2.718281888383306,5.0,0.4774614653660882,0.9999620181093366,0.7089308176100629,1.0,0.01589881688058115
Kunitz,PF00014,99,20,2,18,2.718281888383306,5.0,0.47221509256061456,1.000465152658767,0.7128301886792455,1.0,0.022230078167137235
Kunitz,PF00014,99,20,3,17,2.718281888383306,5.0,0.4537158792575566,0.9979695475416384,0.7384905660377359,1.0,0.01583179787431944
Kunitz,PF00014,99,20,4,17,2.718281888383306,5.0,0.46779252709913977,0.9978868268990441,0.7123270440251573,1.0,0.02360886360869672
Kunitz,PF00014,99,20,5,18,2.718281888383306,5.0,0.47256720852765255,1.0013570317934406,0.7031446540880504,1.0,0.022741536502990177
zf-C2H2,PF00096,151,20,1,18,2.718281888383306,5.0,0.4757304348661601,0.998962008359605,0.7286956521739131,1.0,0.01362699730036642
zf-C2H2,PF00096,151,20,2,18,2.718281888383306,5.0,0.47862863667658123,0.9989751290830833,0.7339130434782607,1.0,0.013798259417645814
zf-C2H2,PF00096,151,20,3,18,2.718281888383306,5.0,0.4776871468586983,0.9987375543653461,0.7307246376811595,1.0,0.01800800069986055
zf-C2H2,PF00096,151,20,4,18,2.718281888383306,5.0,0.46778208846269204,1.0000809188638846,0.7310144927536232,1.0,0.008253712665912051
zf-C2H2,PF00096,151,20,5,18,2.718281888383306,5.0,0.4658654772968191,0.9993748042856484,0.7269565217391304,1.0,0.01077909243530685
